dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1,worst_outer_seed,worst_model_seed,worst_run_id
TEP,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,5,0.9280628032000553,0.005853774528710516,0.9800712354128208,0.00584286034445684,0.014132762312633834,0.00635220427160228,0.8628475147430497,0.014351522793615727,0.81375,0.028090256317805293,93.00037786774628,5.8084379129862596,,,,
TEP,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,5,0.97511194021642,0.00686347762210402,0.9971100035221859,0.0012400434275151265,0.026739427012278306,0.011055950003288687,0.9778145695364238,0.0045867202573493535,0.99,0.0071260964068696215,72.92,0.334664010613635,,,,
TEP,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.9491543484596127,0.02389904035481789,0.9864729658267609,0.009275412416578968,0.019107270784794794,0.0067103887671165355,0.9130766341027057,0.058840761635696834,0.88375,0.09354978621033831,84.18754835807466,10.262778731727463,0.9070208728652751,32001,2026,tep-outer32001-seed2026-jitter_scaling
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,5,0.942966597156308,0.02289598096349029,0.9819633916321958,0.012083750109067919,0.01960246744345442,0.01656771637725896,0.8994102780117943,0.031048965257585485,0.85125,0.061934945709187464,86.06283400809716,10.169556954743511,,,,
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,5,0.9257815414077075,0.012682268371730171,0.9783764168097138,0.009292734475038691,0.013704496788008566,0.005629334519095034,0.8576242628475146,0.023641474642632287,0.805,0.023962861890851034,95.25897435897437,8.21033688840904,,,,
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,5,0.9752970895342749,0.007043617513990189,0.9970106515584909,0.0012959664402712547,0.01909959072305593,0.009402488916841896,0.9690397350993377,0.007441127501405374,0.9824999999999999,0.006846531968814598,73.16,0.21908902300206956,,,,
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.9480150760327635,0.02514085779748006,0.9857834866668002,0.009887038015664235,0.017468851651506304,0.0032697089935855147,0.9086914253195489,0.05628460389649529,0.8795833333333333,0.09207956251706088,84.82726945569051,11.101177043540229,0.9027129238122751,32001,2026,tep-outer32001-seed2026-no_aug
TEP,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,5,0.9378589536842554,0.027011144697029532,0.9800214717147879,0.012579700076882416,0.02069910897875257,0.01645247861894423,0.8898062342038753,0.040020839600625774,0.8375,0.0839689302659025,90.14758434547909,13.853813659095396,,,,
TEP,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,5,0.9253741589411035,0.010919230402536725,0.977557578003518,0.008197536104040953,0.013704496788008563,0.0055610424499022,0.8567818028643639,0.024263725061355775,0.8075000000000001,0.02809025631780531,92.75122807017543,6.369373025918085,,,,
TEP,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,5,0.9742739420457569,0.006644996594917936,0.996667395656119,0.0014335250762462658,0.026739427012278306,0.009182165713759257,0.9759933774834437,0.009933774834437087,0.99,0.00947859430506445,72.92,0.334664010613635,,,,
